,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
209,691,NCT00702741,Follow-up Study of Chondrogen® Delivered by Intra-Articular Injection Following Meniscectomy,,Completed,No Results Available,Recovery Following Partial Medial Meniscectomy,Drug: Chondrogen|Drug: Placebo,Comparison of treatment adverse event rates|Concomitant Medications|Visual Analog Scale,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,18 Years to 60 Years   (Adult),Phase 1|Phase 2,55,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",551,June 2008,September 2011,September 2011,"June 20, 2008",,"January 11, 2022","University of Southern California Keck School of Medicine, Los Angeles, California, United States|OrthoIndy, Indianapolis, Indiana, United States|TRIA Orthopaedic Center, Bloomington, Minnesota, United States|Unlimited Research, San Antonio, Texas, United States",,https://ClinicalTrials.gov/show/NCT00702741
210,7,NCT04652908,Cellular Therapy for In Utero Repair of Myelomeningocele - The CuRe Trial,CuRe,Recruiting,No Results Available,Myelomeningocele,Biological: Placental Mesenchymal Stem Cells seeded on a commercially available dural graft extracellular matrix|Other: Untreated contemporaneous cohort,Safety of the placenta-derived mesenchymal stem cell (PMSC-ECM) Product|Efficacy of the PMSC-ECM Product,"Diana Lee Farmer|California Institute for Regenerative Medicine (CIRM)|University of California, Davis",All,19 Weeks to 25 Weeks   (Child),Phase 1|Phase 2,55,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1617774,"June 21, 2021",March 2024,March 2024,"December 3, 2020",,"September 6, 2022","UC Davis Health, Sacramento, California, United States",,https://ClinicalTrials.gov/show/NCT04652908
211,5,NCT02336230,"A Prospective Study of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Participants Who Have Failed to Respond to Steroid Treatment for Acute Graft-Versus-Host Disease (aGVHD)",,Completed,Has Results,Grade B aGVHD|Grade C aGVHD|Grade D aGVHD,Drug: remestemcel-L,"Overall Response Rate (ORR) at Day 28 Post Initiation of Therapy|Overall Survival (OS) Rate at Day 100 Post Initiation of Therapy|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Responder Status at Day 28|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Baseline aGVHD Grade|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Organ Involvement|OR Rate at Day 56 and 100 Post Initiation of Therapy","Mesoblast, Inc.|Quintiles, Inc.|Mesoblast, Ltd.",All,2 Months to 17 Years   (Child),Phase 3,55,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSB-GVHD001,"June 4, 2015","April 9, 2018","April 9, 2018","January 12, 2015","March 17, 2022","March 17, 2022","Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital of Orange County, Orange, California, United States|University of California at San Francisco, San Francisco, California, United States|Children's Hospital Colorado Center for Cancer/Blood Disorders, Aurora, Colorado, United States|Alfred I. DuPont Hospital for Children of the Nemours Foundation, Wilmington, Delaware, United States|Miami Children's Research Institute, Miami, Florida, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Washington University, Saint Louis, Missouri, United States|Columbia University Medical Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Albert Einstein College of Medicine, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Oregon University, Portland, Oregon, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Transplant Institute, San Antonio, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Fred Hutchinson Cancer Research, Seattle, Washington, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT02336230/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02336230
212,187,NCT02525432,Autologous Stem Cell Study for Adult TBI (Phase 2b),,Enrolling by invitation,No Results Available,"Brain Injuries, Traumatic|Brain Injuries, Acute|TBI (Traumatic Brain Injury)",Biological: Placebo Infusion|Biological: Autologous BMMNC Infusion,Macro and micro structural properties of grey matter (GM) and white matter (WM) regions will measured using high-resolution anatomical MRI and diffusion tensorm imaging and comparisons made between groups.|Brain imaging measures of GM and WM structural integrity will be compared to functional and neurocognitive scores and comparisons made between groups.|Compare neuro-inflammatory biomarkers between groups..|Measure the number of participants with infusion related adverse events.|Measure spleen ultrasound size over time and corresponding changes in inflammatory cytokines.|Determine if microglial activation is associated with TBI and can be accurately measured with brain PET and DT-MRI imaging when compared to PET imaging data from healthy volunteers (enrolled under a different protocol).|Quantify the extent and location of microglial activation by brain PET imaging and how activity correlates with performance of neurocognitive outcomes measures.|Determine the extent to which an IV infusion of autologous BMMNC post-injury impacts microglial activation by brain PET imaging.,"The University of Texas Health Science Center, Houston|United States Department of Defense|U.S. Army Medical Research and Development Command",All,18 Years to 55 Years   (Adult),Phase 2,55,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",HSC-MS-16-0283,"November 21, 2016",August 2023,December 2023,"August 17, 2015",,"August 2, 2022","The University of Texas Health Science Center at Houston, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02525432
213,619,NCT04798716,The Use of Exosomes for the Treatment of Acute Respiratory Distress Syndrome or Novel Coronavirus Pneumonia Caused by COVID-19,ARDOXSO,Not yet recruiting,No Results Available,Covid19|Novel Coronavirus Pneumonia|Acute Respiratory Distress Syndrome,Drug: MSC-exosomes delivered intravenously every other day on an escalating dose: (2:4:8)|Drug: MSC-exosomes delivered intravenously every other day on an escalating dose (8:4:8)|Drug: MSC-exosomes delivered intravenously every other day (8:8:8),"Measure and report the number of participants with treatment-related-adverse events as assessed by CTCAE v4.0; for patients receiving ARDOXSO™, perinatal MSC-derived exosome therapy.|Tabulate and report the number of IMV days for patients receiving ARDOXSO™ perinatal MSC-derived exosome therapy.|Analyze and report organ failure, associated with ICU mortality in participants confirmed with SARS-CoV2 infection, receiving ARDOXSO™ as an interventional exosome therapy.|Record and analyze respiratory measures (Berlin Score/PEEP) following treatment regime.",AVEM HealthCare,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,55,Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",020582,September 2023,September 2024,December 2024,"March 15, 2021",,"March 11, 2022","Mission Community Hospital, Panorama City, California, United States",,https://ClinicalTrials.gov/show/NCT04798716
214,46,NCT04594850,Clinical Trial to Evaluate Efficacy and Safety of of Autologous Mesenchymal Stem Cells (MSC) Injected Intracavernously,Cellgram-ED,Recruiting,No Results Available,Erectile Dysfunction,Biological: Cellgram-ED,The amount of change in EF score in the International Erectile Function Questionnaire (IIEF) at administration of the clinical trial drug compared to the baseline value|Changes in SEP Q 2 and Q 3 evaluation after administration of investigational drug compared to baseline|Global Assessment Question (GAQ) evaluation after administration of investigational drugs|Changes in Penile Doppler Sonography(PDS) level after administration of clinical trial drug compared to baseline,"Pharmicell Co., Ltd.",Male,"19 Years to 79 Years   (Adult, Older Adult)",Phase 2,54,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,PMC-P-10,"October 19, 2020","October 31, 2023","October 31, 2023","October 20, 2020",,"October 26, 2020","Asan medical center, Seoul, Korea, Republic of|Samsung medical center, Seoul, Korea, Republic of|Seoul ST. Mary's hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04594850
215,125,NCT04170426,Autologous Adipose-derived Stem Cells (AdMSCs) for Rheumatoid Arthritis,,Not yet recruiting,No Results Available,Rheumatoid Arthritis,Biological: autologous adipose derived stem cells,Adverse Events and Sever Adverse Events|Efficacy of Celltex AdMSCs,Celltex Therapeutics Corporation,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,54,Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CTX0019-001,December 2022,December 2023,December 2025,"November 20, 2019",,"May 5, 2022",,,https://ClinicalTrials.gov/show/NCT04170426
216,220,NCT05344157,A First-in-Human Study of XSTEM-OA in Patients With Knee Osteoarthritis,,Recruiting,No Results Available,"Osteoarthritis, Knee",Biological: XSTEM-OA,"Safety and tolerability: Adverse events (AEs)|Safety and tolerability: 12-lead electrocardiogram (ECG)|Safety and tolerability: Laboratory examinations|Safety and tolerability: Physical examinations|Safety and tolerability: Vital signs|Preliminary efficacy: Changes in Visual Analogue Scale (VAS) for pain compared to baseline|Preliminary efficacy: Changes in Knee injury and Osteoarthritis Outcome Score (KOOS) compared to baseline|Preliminary efficacy: Change in EuroQoL 5 Dimension 5 Level test (EQ-5D-5L) compared to baseline|Preliminary efficacy: Change in 40 m fast paced walk test compared to baseline|Preliminary efficacy: Change in cartilage structure compared to baseline, based on MRI assessment of cartilage volume and composition|Preliminary efficacy: Change in whole knee health compared to baseline, based on MRI assessment by the MRI Osteoarthritis Knee Score (MOAKS)|Preliminary efficacy: Change in inflammatory activity compared to baseline, based on MRI assessment of synovial thickness and synovial blood flow|Preliminary efficacy: Changes in joint space narrowing based on x-ray compared to baseline",Xindu Pty Ltd|Xintela AB,All,"40 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,54,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,XIN-XSTEM-101,"June 22, 2022",December 2024,December 2024,"April 25, 2022",,"July 13, 2022","Emeritus Research, Camberwell, Victoria, Australia",,https://ClinicalTrials.gov/show/NCT05344157
217,99,NCT02162693,Clinical Trial of Autologous Adipose Tissue-Derived Mesenchymal Progenitor Cells (MPCs) Therapy for Knee Osteoarthritis,,Completed,No Results Available,Knee Osteoarthritis,Biological: Mesenchymal progenitor cells|Biological: Sodium Hyaluronate,WOMAC Score(The Western Ontario and McMaster Universities Osteoarthritis Index)|Recording of Adverse Events and Serious Adverse Events,Cellular Biomedicine Group Ltd.|RenJi Hospital|General Hospital of Chinese Armed Police Force,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,53,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,CBMG-KOA-Ⅱb,November 2013,May 2016,November 2016,"June 13, 2014",,"November 17, 2017","General Hospital of Chinese Armed Police Force, Beijing, China|Shanghai Renji Hospital, Shanghai, China",,https://ClinicalTrials.gov/show/NCT02162693
218,254,NCT01663116,"Cx611-0101, eASCs Intravenous Administration to Refractory Rheumatoid Arthritis Patients",,Completed,No Results Available,Rheumatoid Arthritis Aggravated,Genetic: Stem cells|Genetic: Placebo,"Number of Adverse Events and Severe Adverse Events|Proportion of ACR20 patients/ACR50 patients/ACR70 patients (swollen joints*, tender joints**, physician global assessment***, patient global assessment***, patient´s assessment of pain ***, ESR/CRP, HAQ score)",Tigenix S.A.U.|Takeda,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,53,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,Cx611-0101,March 2011,January 2013,January 2013,"August 13, 2012",,"April 12, 2019","Hospital U. Central de Asturias, Oviedo, Asturias, Spain|Hospital General de Mérida, Mérida, Badajoz, Spain|Hospital U. de Canarias, La Laguna, Tenerife, Spain|Hospital de Cruces, Barakaldo, Vizcaya, Spain|Hospital de Basurto, Bilbao, Vizcaya, Spain|Complejo Hospitalario U. A Coruña, A Coruña, Spain|Hospital Vall d'Hebron, Barcelona, Spain|Hospital Clinic i Provincial, Barcelona, Spain|Hospital Santa Creu i Sant Pau, Barcelona, Spain|Hospital Reina Sofía, Córdoba, Spain|Hospital Clínico San Cecilio, Granada, Spain|Hospital U. Virgen de las Nieves, Granada, Spain|Hospital U. de Guadalajara, Guadalajara, Spain|Hospital de La Princesa, Madrid, Spain|Hospital U. Gregorio Marañon, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital U. La Paz, Madrid, Spain|Hospital Carlos Haya, Málaga, Spain|Hospital U. Marques de Valdecilla, Santander, Spain|Hospital Ntra. Sª de Valme, Sevilla, Spain|Hospital Virgen Macarena, Sevilla, Spain|Hospital La Fe, Valencia, Spain|Hospital Dr. Peset, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT01663116
219,112,NCT05066334,Efficacy of Intradiscal Injection of Autologous BM-MSC in Subjects With Chronic LBP Due to Multilevel Lumbar IDD,DREAM,Recruiting,No Results Available,Intervertebral Disc Degeneration|Chronic Low-back Pain,Drug: Autologous BM-MSC|Procedure: Sham,Pain Change|Functional disability index evaluation|Disability evolution|Quality of life evolution|Drug consumption of rescue painkillers medication|Measurement of pain|Employment and work status assessment|Structural assessment|Evaluation of costs|Body Mass Index evaluation|Haematological evaluation: safety parameter|Coagulation status: safety parameter|Metabolic functions: safety parameter|Inflammation: safety parameter|Urinalysis|Spine examination|Specific Adverse Events Evaluation,"Campus Bio-Medico University|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico|Center for Outcomes Research and Clinical Epidemiology, Italy",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,52,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",DREAM (GR - 2018-12367168)|2019-002749-40,"March 22, 2021","May 31, 2022","June 9, 2023","October 4, 2021",,"October 4, 2021","Campus Bio-Medico University of Rome, Roma, Italy",,https://ClinicalTrials.gov/show/NCT05066334
