,Outcome Measures,count,enrolled
112,Number of treatment related-adverse events during the study period|Improvement in clinical function as assessed by Modified Rankin Score(mRS) compared to baseline at 6 months|Improvement in clinical function as assessed by National Institute of Health Stroke Scale (NIHSS) compared to baseline at 6 months|Improvement in clinical function as assessed by Barthel Index (BI) compared to baseline at 6 months|Improvement in clinical function as assessed by Brain MRI tratogram compared to baseline at 6 months,1,19
113,Frequency of Adverse Events|Relative Wound Area Regression of 40% or More at 6 Week,1,20
114,Adverse effects after intravenous infusions|Clinical outcome,1,20
115,AE and symptomatic relief|Increase in transcutaneous partial oxygen pressure (TcPO2) and Ankle brachial pressure index (ABPI) - measured by Doppler,1,20
116,"Lumbar disc signaling values from magnetic resonance imaging|Visual Analogue Scale (VAS) (0-10 scores, the higher scores mean a worse outcome)|Oswestry Disability Index(ODI) (0-50 scores, the higher scores mean a worse outcome)|The Short Form (36) Health survey (SF36) (0-100 scores, the higher scores mean a better outcome)|Disc Height Index (DHI) from X ray|Size of herniated nucleus pulposus from magnetic resonance imaging|Number of participants with treatment-related adverse events by CTCAE v4.0",1,20
117,Maximum tolerated dose of Descartes-25|Overall Response Rate according to the IMWG response criteria|Median Duration of Response,1,20
118,"Change of bone quality|Number of patients with infection ( increase of local temperature, tenderness, leukocyte count >10,000/ µL, confirmed by Gram stain and blood culture).|Number of patients with bleeding after surgery (Persistent bleeding, ineffectiveness stopping bleeding using dressings)|Number of patients with surgical wound dehiscence (subcutaneous tissue , bone or osteosynthesis material exposed and seen through opened skin )",1,20
119,Number of adverse events after infusion of BMSCs or EPCs.|Changes in functional outcomes measured by the modified Rankin Scale (mRS) and the Barthel index (BI).,1,20
120,Safety (adverse events)|Efficacy: skin score|Efficacy: Forced vital capacity (FVC),1,20
121,"To Assess the safety of EV-Pure™ and WJ-Pure™ administration in patients exhibiting moderate to severe ARDS associated with COVID-19, compared to placebo.|To assess the efficacy of EV-Pure™ and WJ-Pure™ compared to placebo, in patients with moderate to severe ARDS assoociated with COVID-19|Time to clinical improvement|Overall Survival|COVID-19 polymerase chain reaction (PCR) test result as negative",1,20
122,Safety (adverse events)|Efficacy: creatinine levels|Efficacy: changes in eGFR,1,20
123,Number of participants with adverse/serious adverse events,1,20
124,"The mean change in the number of MSCs present in the knee pre- and post- microfracture/microfracture plus arthroscopic synovial brushing.|Number of patients whose clinical effusion scores improve at 3, 6 and 12 months|Number of patients whose semi-quantitative MRI cartilage scores improve at 6 and 12 months|Median KOOS scores at 3, 6 and 12 months (pain; other symptoms; function in daily living; function in sport; knee-related QoL; average score)|Western Ontario and McMaster Universities Arthritis Index (WOMAC)|Visual Analogue Scale (VAS)",1,20
125,Number of participants with adverse events|Number of participants with adverse events .|Preliminary evaluation of efficacy,1,20
126,Number of participants with adverse events|Number of participants with a change in disability as measured by the Autism Treatment Evaluation Checklist (ATEC)|Number of participants with a change in disability as measured by the Childhood Autism Rating Scale (CARS)|Change from baseline macrophage-derived chemokine (MDC)|Change from baseline thymus and activation-regulated chemokine (TARC),1,20
127,Changes in ischemic pain|Changes in pain-free walking distance|Changes in TBI (Toe Brachial Index)|Changes in ABI (Ankle Brachial Index)|Change in size of the Ulcer|Determination of maximum tolerable dose according to DLT occurrence|Incidence of abnormal laboratory tests results|Incidence of abnormal blood pressure|Incidence of abnormal temperature|Incidence of abnormal physical condition,1,20
128,Toxicity of the treatment|Serious adverse events|Change in perceived pain based on the Numerical Rating Scale|Change in perceived pain based on the digital ulcer visual analogue scale (part of the S-HAQ)|Change in perceived pain based on the pain VAS ( part of the S-HAQ)|Change in perceived pain based on the use of analgesics.|Quality of life - SF-36|Quality of life - Euroqol|Disability|Hand function|Number (and change in number) of digital ulcers|Healing of digital ulcers|Ulcer size|Time to healing of digital ulcers|Need to alter medication regime|Modified Rodnan Skin Score|Severity of Raynaud's symptoms|Changes in capillary morphology and architecture|Changes in laboratory parameters|Changes in circulating cell populations,1,20
129,Adverse effects associated with the therapy|Percent of patients with successful pregnancy,1,20
130,Safety (adverse events)|Efficacy: revised ALS functional rating scale (ALSFRS-R),1,20
131,Safety: Number of serious adverse events|DLCO changes from baseline|FVC changes from baseline|exercise capacity changes,1,20
132,toxicity|survival|progression free survival|Rodnan score|Clinical response,1,20
133,Percentage of complications|Change from baseline length and diameter of the stenosis|Crohn's disease activity index (CDAI) questionnaire score|inflammatory bowel disease questionnaire (IBDQ32 )|patients with an obstructive episode who required resection surgery,1,20
134,TTCI|Lung lesion|Immune function|Time of SARS-CoV-2 clearance|Blood test|SPO2|RR|Body temperature|Side effects in the treatment group|C-reactive protein (mg/L),1,20
135,adverse effects regarding UCMSC infusion|Pathological score of liver inflammation|Changes of biliary lesions in magnetic resonance image|alanine aminotransferase,1,20
136,Volume Maintenance|Immunophenotyping,1,20
137,FibroScan|IV-C|HA|LN|PC-III|Hepatic histopathologic examination|IgG|IgA|IgM|IgE|C3|C4|CD3|CD4|CD8|CD19|CD16+56|ALB|ALT|AST|TBIL|DBIL|HBV-DNA|Change of ultrasound examination of liver,1,20
138,The safety of GEM00220 will be assessed by monitoring adverse events|Maximum Feasible Tolerated Dose,1,21
139,fever|Unconsciousness|The Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)|FVC,1,19
140,Change of clinical symptoms as respiratory distress or need for oxygen support|Change of cytokine storm parameters|Change of pulmonary functions|Change of clinical symptoms,1,21
141,"Number of Participants With Pre-Specified Infusion Associated Adverse Events|Number of Subjects With Serious Adverse Events by 31 Days After First Infusion|Percentage of Participants Experiencing Serious Adverse Events (SAEs) Through Study Day 90|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs) by Severity|Subjects With Adverse Events and Serious Adverse Events by Severity|Number of Adverse Events and Serious Adverse Events by Relatedness to Treatment|Subjects With Adverse Events by Relatedness to Treatment|Survival at 31 Days Post First Infusion|Survival at 60 Days Post First Infusion|Time to Recovery|Ventilator-Free Days Throughout 28 Days Post Second Infusion|Ventilator-Free Days Throughout 90 Days|Respiratory Rate and Oxygenation Index (ROX Index)|Oxygenation Index (OI)|Positive End-Expiratory Pressure (PEEP) and Plateau Pressure (Pplat)|Sequential Organ Failure Assessment (SOFA) Scores|Smell Identification Test (SIT) Scores|White Blood Cell Count (WBC)|Platelets Count|Hemogoblin|Hematocrit|Neutrophils|Lymphocytes|Glomerular Filtration Rate|Total Protein|Sodium|Potassium|Creatinine|Glucose|Albumin|Alkaline Phosphatase|Alanine Aminotransferase or Serum Glutamate-pyruvate Transaminase (ALT or SGPT)|Aspartate Aminotransferase or Serum Glutamic Oxaloacetic Transaminase (AST or SGOT)|Total Bilirubin|Blood Urea Nitrogen (BUN)|Calcium|Chloride|Carbon Dioxide (CO2)|C-Reactive Protein Levels|Arachidonic Acid/Eicosapentaenoic Acid (AA/EPA) Ratio|D-dimer Levels|25-Hydroxy Vitamin D Levels|Tumor Necrosis Factor-alpha (TNFα)|Tumor Necrosis Factor-beta (TNFβ)|Soluble Tumor Necrosis Factor Receptor 2 (sTNFR2)|Viral Load by SARS-CoV-2 RT-PCR|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 3 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 6 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 14 Post First Infusion|Number of Participants With Positive, Negative, or Borderline Serology Testing for SARS-CoV-2 IgM/IgG",1,24
142,Trend in trajectory of PaO2/FiO2 ratio (P/F ratio) between groups|Incidence and severity of treatment-emergent adverse events|Change in C-reactive protein (CRP) levels|Proportional differences between groups on the Clinical Improvement Scale|Changes in P/F ratio|Changes in respiratory rate|Changes in oxygenation index|Changes in respiratory compliance (the change in lung volume per unit change in transmural pressure gradient)|Changes in positive end-expiratory pressure|Ventilator-free days|Proportional differences between groups on the SF-36|Proportional differences between groups on the mini mental state examination,1,24
143,To investigate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by improvements in the Multiple Sclerosis Quality of Life (MSQOL) 54 Instrument.|To evaluate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by changes in the Expanded Disability Status Scale (EDSS)|To evaluate the efficacy of intravenous infusions of HB-adMSCs vs placebo in patients with Multiple Sclerosis as determined by changes in the Barthel Index|To determine the efficacy of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by changes in 9-Hole Peg Test|To identify the safety of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by changes in Patient Health Questionnaire (PHQ-9)|To assess the safety of intravenous infusions of HB-adMSCs vs. Placebo in patients with Multiple Sclerosis as determined by the incidence of adverse events or serious adverse events,1,24
144,Proportion of patients who have achieved withdrawal of invasive mechanical ventilation|Rate of mortality|Proportion of patients who have achieved clinical response|Proportion of patients who have achieved radiological responses,1,24
145,Number of subjects experiencing adverse events.,1,24
146,"Safety; measured through set safety parameters|Efficacy; comparison of the intervention versus placebo at day 372 versus start of treatment|Number of patients insulin independent (ADA criteria) at days 187 and 372|Number of patients with daily insulin needs <0.25U/kg at days 187 and 372|Insulin requirement/kg BW at days 187 and 372|HbA1c at days 187 and 372.|Glucose variability at day 372|Delta change of levels of fasting C-peptide at day 372|Numbers of patients with peak C-peptide >0.20 nmol/l, in response to the MMTT, at day 372",1,24
